83	620	20479.85	1526.53	24662.63	33.03	4.77
84	3	123.50	0.00	141.38	41.17	6.70
85	868	25422.57	300.25	27751.95	29.29	5.29
86	865	42124.59	176.23	44936.39	48.70	13.12
87	44509	1026627.84	159750.98	1412678.21	23.07	4.23
88	24761	602529.01	88185.89	817692.27	24.33	5.54
89	2414	72961.50	1905.58	80922.54	30.22	5.61
9	169	5134.27	280.52	5774.07	30.38	6.03
90	153045	2242115.90	428153.33	3429437.45	14.65	2.43
91	1653	47533.03	291.54	51457.41	28.76	5.79
92	782	25838.62	784.20	29451.96	33.04	69.57
93	1459	85848.97	11884.44	108382.29	58.84	8.50
94	300	9760.66	25.12	10691.86	32.54	210.22
95	1888	54526.16	2162.33	62492.59	28.88	5.45
96	34	1160.30	169.06	1416.95	34.13	4.65
97	4296	104326.24	8293.96	124841.28	24.28	4.22
98	229	8203.66	321.20	9160.45	35.82	7.15
99	1	10.70	0.00	12.20	10.70	2.25
